symbol,name,price,marketCap,volume,industry
OPAL,OPAL Fuels Inc. Class A Common Stock,2.31,403687702.0,110748,Utilities
GNE,Genie Energy Ltd. Class B Common Stock Stock,14.13,373084295.0,63911,Utilities
ARTNA,Artesian Resources Corporation Class A Common Stock,34.11,352166580.0,44876,Utilities
CDZI,CADIZ Inc. Common Stock,3.09,259826624.0,495375,Utilities
PCYO,Pure Cycle Corporation Common Stock,10.7,257841859.0,81270,Utilities
MNTK,Montauk Renewables Inc. Common Stock,1.7,241979936.0,137084,Utilities
RGCO,RGC Resources Inc. Common Stock,21.49,223649782.0,16467,Utilities
GWRS,Global Water Resources Inc. Common Stock,7.29,209686892.0,65225,Utilities
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,20.85,193102275.0,14221,Utilities
GFUZW,General Fusion Group Ltd. Warrant,1.71,108661594.0,11465,Utilities
HDRN,Hadron Energy Inc. Common Stock  ,1.47,105103298.0,42104,Utilities
NFE,New Fortress Energy Inc. Class A Common Stock,0.3359,95944679.0,1412998,Utilities
SLNG,Stabilis Solutions Inc. Common Stock,4.66,86658763.0,49106,Utilities
OPTT,Ocean Power Technologies Inc. Common Stock,0.18,46647716.0,5860716,Utilities
QRHC,Quest Resource Holding Corporation Common Stock,1.29,27184832.0,9379,Utilities
FKWL,Franklin Wireless Corp. Common Stock,2.3,27103844.0,20572,Utilities
FIEE,FiEE Inc Common Stock,2.87,24477076.0,124122,Utilities
HDRNW,Hadron Energy Inc. Warrant,0.17,12154803.0,479,Utilities
CLRO,ClearOne Inc. Common Stock,4.19,11209976.0,19050,Utilities
AWX,Avalon Holdings Corporation Common Stock,2.565,10002041.0,4976,Utilities
SUNE,SUNation Energy Inc. Common Stock,2.34,9648068.0,239465,Utilities
SONM,DNA X Inc. Common Stock,3.85,5729832.0,73748,Utilities
XELLL,Xcel Energy Inc. 6.25% Junior Subordinated Notes Series due 2085,23.22,0.0,78751,Utilities
DTK,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,23.74,0.0,31045,Utilities
SRJN,Spire Inc. 6.375% Junior Subordinated Notes due 2086,23.24,0.0,22702,Utilities
SOJF,Southern Company (The) Series 2025A 6.50% Junior Subordinated Notes due March 15 2085,25.31,0.0,18833,Utilities
MCGA,Yorkville Acquisition Corp. Class A Ordinary Share,10.23,0.0,18759,Utilities
TVE,Tennessee Valley Authority,23.51,0.0,7219,Utilities
TVC,Tennessee Valley Authority Common Stock,24.0136,0.0,15921,Utilities
